,Title,Authors,Topic,Category,Fiscal Year,Date Published,Abstract,URL,DatascopeTopic,DatascopeSubtopic,country
25,The Role of Exchange Rate and Non-exchange Rate Related Factors in Polish Firms’ Export Performance,Maciej Albinowski; Jan Hagemejer; Stefania Lovo; Gonzalo Varela,,Exports ,2017,2016-11-01 00:00:00,"This paper analyzes the export performance of Polish manufacturing firms. It focuses on the extensive and intensive margins of exports, on the decision to enter export markets and the intensity of exports, given participation, examining price and non-price determinants of export performance. The analysis relies on two different but complementary sources of data: a panel survey of Polish firms for 2005-13, and an exporter-level customs data set, for the same period, with detailed information on products and destinations. The findings reveal that firms face high sunk costs for entering export markets, and that once these costs have been paid, they depreciate rapidly over time. Strong positive local spillovers are also identified, which help reduce entry costs. Finally, the paper shows that the impact of real exchange rate fluctuations on firms' export performance is dependent of the degree of integration in international production networks. ",http://documents.worldbank.org/curated/en/422141480450329379/The-role-of-exchange-rate-and-non-exchange-rate-related-factors-in-polish-firms-export-performance,Innovation; Innovation,Entrepreneurship; Entrepreneurship,Benin
26,Can Enhancing the Benefits of Formalization Induce Informal Firms to Become Formal? Experimental Evidence from Benin,Najy Benhassine; David Mckenzie; Victor Maurice Pouliquen; Massimiliano Santini,,Entrepreneurship; Business regulation,2017,2016-11-01 00:00:00,"Governments around the world have introduced reforms to attempt to make it easier for informal firms to formalize. However, most informal firms have not gone on to become formal, especially when tax registration is involved. A randomized experiment based around the introduction of the entreprenant legal status in Benin is used to provide evidence from an African context on the willingness of informal firms to register after introducing a simple, free registration process, and to test the effectiveness of supplementary efforts to enhance the presumed benefits of formalization by facilitating its links to government training programs, support to open bank accounts, and tax mediation services. Few firms register when just given information about the new regime, but 9.6 percentage points more register when they were visited in person and the benefits were explained. The full package of supplementary efforts boosts the impact on the formalization rate to 16.3 percentage points, demonstrating that enhancing the benefits of formalization does induce more firms to formalize. Firms that are larger, and that look more like formal firms to begin with, are more likely to formalize, providing guidance for better targeting of such policies. However, formalization appears to offer limited benefits to the firms, and the costs of personalized assistance are high, suggesting that such enhanced formalization efforts are unlikely to pass cost-benefit tests.",http://documents.worldbank.org/curated/en/579081480451260134/Can-enhancing-the-benefits-of-formalization-induce-informal-firms-to-become-formal-experimental-evidence-from-Benin,Sectors,Manufacturing,
27,Automotive in South Asia : From Fringe to Global,Priyam Saraf,,Manufacturing/ Services,2017,2016-10-01 00:00:00,"The automotive sector is one of the most important industries globally and in South Asia, contributing 19 million of direct and indirect jobs in India alone. 
This case study identifies reasons for success, limits on the growth of automotives in South Asia, and recommends policies to enhance its growth. 
The report focuses primarily on the experience of India and Pakistan - two of the biggest markets in South Asia - to understand key trends for the region, and compares their performance with China and Vietnam. ",https://openknowledge.worldbank.org/handle/10986/25119,Trade,Competition and Competition Policy,Senegal
28,An assessment of the short term impact of the ECOWAS-CET and EU-EPA in Senegal,Jean Michel Marchat; Erik von Uexkull,,Trade policy,2017,2016-10-01 00:00:00,"Estimates the short-term impact of the ECOWAS Common External Tariff (CET) and EU Economic Partnership Agreement (EPA) on Senegal, using a simple framework based on partial equilibrium simulations of trade and the application of price changes to firm and household data. 
Report finds that the CET might benefit some firms in the short term through higher output protection, but points out that such measures would likely have adverse effects on productivity in the longer run. 
Discusses priority actions in the areas of competition, access to imported inputs, value chain integration, and access to backbone services that could help improve the outcomes of implementing the CET and EPA.",https://openknowledge.worldbank.org/handle/10986/25119,Economy; Economy,Economic Outcomes; Private Sector Investment,Ethiopia
29,How Do Cities in Ethiopia Create Jobs?,Megha Mukim,,Spatial growth/SEZs; Jobs,2017,2016-10-01 00:00:00,"This paper reviews city-based industrialization across Ethiopia to understand (a) its importance in driving net job creation, and (b) the factors that determine the success of high-growth industries and cities. The focus of the analysis is on firms, industries, and cities in Ethiopia that create and sustain jobs. The analysis finds that much of new job creation is found in emerging cities, although capital intensity in production is also increasing. As in other countries, 97 percent of new jobs are created by large firms, and it is incumbents and not new entrants that contribute to initial and sustained increases in employment. Agglomeration economies, better business environment, and access to better infrastructure are factors that matter, albeit differently, depending on firms' size, life-cycle, and rate of growth.",https://openknowledge.worldbank.org/handle/10986/25311,Trade; Trade,Trade Outcomes; Trade Outcomes,
30,South Asia's Turn: Policies to Boost Competitiveness and Create the Next Export Powerhouse,Gladys Lopez-Acevedo; Denis Medvedev; Vincent Palmade,,GVCs; Exports,2017,2016-10-01 00:00:00,"South Asia has a huge need to create more and better jobs for a growing population – especially in the manufacturing industries where it is underperforming as compared to East Asia. The report examines three critical and relatively understudied drivers of competitiveness: Economies of agglomeration: firms and workers accrue benefits from locating close together in cities or clusters through urbanization and localization. Participation in global value chains: stronger competitive pressures weed out least productive firms while others improve by gaining access to new knowledge and better inputs. Firm capabilities: in order to operate close to what would be considered optimum efficiency levels given the prevailing factor prices and thus employ South Asia’s abundant labor. The report entails four case studies of critical industries: apparel (based on the “Stitches to Riches” World Bank report), automotive, electronics and agribusiness. The report also draws on relevant good practices from around the world. The report shows that South Asia has great untapped competitiveness potential (including in all four industries studied). Realizing this potential would require the governments in the region to pursue second generation trade policy reforms for firms to better contribute to and benefit from global value chains (e.g. facilitating imports for exporters), to facilitate the development of industrial clusters in secondary cities (cheaper and less congested than the metros) as well as to deploy policies to improve the capabilities of firms, especially SMEs.",https://openknowledge.worldbank.org/handle/10986/25094,Innovation; Innovation,Reform Progress,
31,"ICT Use, Innovation, and Productivity: Evidence from Sub-Saharan Africa","Cirera, Xavier; Lage, Filipe; Sabetti, Leonard; ",,Innovation; Productivity,2017,2016-10-01 00:00:00,"This paper examines empirically the links between adoption of information and communications technology (ICT), defined as usage by firms, innovation, and productivity using firm-level data for a sample of six Sub-Saharan African countries: the Democratic Republic of Congo (DRC), Ghana, Kenya, Tanzania, Uganda, and Zambia. Although adoption of information and communications technology in these countries is still lagging behind OECD countries, there is significant heterogeneity on adoption rates across the countries. Kenya has the largest adoption rate of computer, software, and Internet usage. The Democratic Republic of Congo and Tanzania experience lower adoption rates. The degree of internationalization of the firm, use of technology, and extent of competition are important factors explaining firm-level use of ICT. The results of the estimates suggest that ICT use is an important and robust enabler of product, process, and organization innovation across all six countries. However, the final impact on productivity depends on the degree of novelty of the innovation introduced by the firm.",http://documents.worldbank.org/curated/en/997211476897844312/ICT-use-innovation-and-productivity-evidence-from-Sub-Saharan-Africa,Trade; Economy,Trade Outcomes; Economic Outcomes,Dominica; Dominican Republic
32,Does the elimination of export requirements in special economic zones affect export performance? Evidence from the Dominican Republic,Fabrice Fernand Defever; Jose Daniel Reyes; Alejandro Riano; Miguel Eduardo Sánchez Martin,,Exports; Spatial growth/SEZs,2017,2016-10-01 00:00:00,"Special economic zones, one of the most important instruments of industrial policy in developing countries, often feature export share requirements. That is, firms located in these zones are obliged to export more than a certain stated share of their output to enjoy the wide array of incentives available there, a practice prohibited by the World Trade Organization. This paper exploits the staggered removal of export requirements across products and over time in the special economic zones of the Dominican Republic to evaluate whether the importance of exports originating from the zones was affected by the elimination of export requirements. The findings show that entry increased among firms in special economic zones, while the average value of export transactions fell for existing exporters following the reforms. At the same time, continuous exporters were unaffected by the policy change, possibly because these firms were not constrained by the export requirement. Overall, special economic zones became more important with respect to the number of exporters based there but not in terms of the value of exports. The findings suggest that the elimination of performance requirements made it more attractive for firms to be based in special economic zones.  ",http://documents.worldbank.org/curated/en/966411477664801267/Does-the-elimination-of-export-requirements-in-special-economic-zones-affect-export-performance-evidence-from-the-Dominican-Republic,Investment; Trade,Entry and Investment; Trade Outcomes,Russian Federation
33,Export Competitiveness and FDI Performance across the Regions of the Russian Federation,Karlygash Dairabayeva; Michael Ferrantino; Alberto Portugal-Perez; Gabriela Schmidt,,FDI; Exports,2017,2016-09-01 00:00:00,"The richest regions in Russia have a standard of living comparable to the EU, while the poorest have a standard of living comparable to SSA.  
Outward orientation (exports and inward FDI) is a key determinant of which Russian regions are rich or poor.
Exports of mineral fuels account for two-thirds of Russian exports: richest regions are mostly associated with exports of mineral fuels & poorest regions, notably the North Caucasus, have weak export and FDI linkages.
The focus of outward orientation, in terms of goods exported, regions benefited, and most closely associated destination markets will vary depending on whether the objective is earning national income, diversification and stability, technological upgrading, or promoting the uplift of lagging regions.",http://documents.worldbank.org/curated/en/407151473792036946/Export-competitiveness-and-FDI-performance-across-the-regions-of-the-Russian-Federation,Investment; Innovation,Cost of Operations; Entrepreneurship,
34,A Guide to Warehouse Receipt Financing Reform: Legislative Reform,"Jean Edouard Albert Saint-Geours; Damien Shiels
 
",,Agribusiness; Business regulation ,2017,2016-09-01 00:00:00,"The content of this guide walks the reader through the project cycle (identification, diagnostic, solution design, and implementation) on the major elements to be considered when introducing pertinent legislative and regulatory reforms. The recommendations presented in this guide are based on the World Bank Group’s experience in the warehousing sector, and particularly in the context of agricultural commodities, the contributions of a number of experts in this field, existing literature, reform experience in a number of emerging market countries and the existing best practices in jurisdictions with efficient and generally accepted warehousing systems. ",http://documents.worldbank.org/curated/en/885791474533448759/A-guide-to-warehouse-receipt-financing-reform-legislative-reform,Sectors; Innovation,Climate Competitiveness; Entrepreneurship,
35,Crowdfunding for Green Business: Lessons from East African Startups,Xue Zheng; Samuel Raymond; Michael Ehst; Lauren Caldwell; Nicola Vesco; Heejin Lee,Innovation and Entrepreneurship,Climate/green; Entrepreneurship,2017,2016-08-10 00:00:00,"Crowdfunding is a technology-enabled approach to raising funding online from multiple individuals to finance a projector business venture. An entrepreneur launches a campaignon a crowdfunding platform to pitch his or her idea to a largenumber of potential supporters for donations or investments. In North America and Europe, crowdfunding has emergedas a promising alternative for entrepreneurial finance. In particular, crowdfunding platforms are increasingly targeting the development and commercialization of clean technologiesin developing countries. Crowdfunding offers a new alternative to address the financing needs of capital intensive clean technology businesses in developing countries. To better understand crowdfunding’s potential and limitations, the World Bank Group’s Climate Technology Program interviewed a number of East African entrepreneurs who were early adopters of this new fundraising mechanism. From their successes and failures, key lessons were drawn for entrepreneurs, investors, and regulators. While the crowdfunding market in Africa is nascent, there are manyreasons to be optimistic about its future. As the market matures and grows, a number of interesting evolutions can be expedited by the collaborative efforts of the public and private sectors, suchas data collection, the matching fund model, and payment systeminnovation.In the clean technology sector, crowdfunding platforms face both opportunities and risks in their experiments to expand indeveloping countries. Ill-suited regulations in equity and debt crowdfunding, limited investor protection, and the lack of effective due diligence are among the barriers to expanding crowdfunding investment. Nevertheless, given the environmental and social goals of the businesses and the growing market opportunities,crowdfunding investment could play a catalytic role in financing clean technology ventures across the developing world.",http://documents.worldbank.org/curated/en/402581470897987643/Crowdfunding-for-green-businesses-lessons-from-East-African-startups,Sectors; Innovation,Climate Competitiveness; Entrepreneurship,Kenya
